2013-06-19,1
2013-06-20,1
2013-06-21,1
2013-06-22,3
2013-06-23,3
2013-06-24,3
2013-06-25,3
2013-06-26,3
2013-06-27,4
2013-06-28,2
2013-06-29,3
2013-06-30,1
2013-07-01,3
2013-07-02,3
2013-07-03,6
2013-07-04,5
2013-07-05,3
2013-07-06,6
2013-07-07,4
2013-07-08,4
2013-07-09,3
2013-07-10,3
2013-07-12,3
2013-07-13,3
2013-07-14,4
2013-07-15,2
2013-07-16,3
2013-07-17,4
2013-07-18,1
2013-07-19,2
2013-07-20,3
2013-07-21,2
2013-07-22,3
2013-07-23,4
2013-07-24,4
2013-07-25,3
2013-07-26,2
2013-07-27,2
2013-07-28,2
2013-07-29,2
2013-07-30,3
2013-07-31,2
2013-08-01,2
2013-08-02,3
2013-08-03,2
2013-08-04,2
2013-08-05,3
2013-08-06,2
2013-08-07,3
2013-08-08,2
2013-08-09,2
2013-08-10,2
2013-08-11,1
2013-08-12,1
2013-08-13,5
2013-08-14,1
2013-08-16,1
2013-08-17,1
2013-08-18,1
2013-08-19,1
2013-08-20,2
2013-08-21,1
2013-08-22,2
2013-08-23,5
2013-08-24,1
2013-08-25,2
2013-08-26,2
2013-08-27,2
2013-08-28,2
2013-08-29,2
2013-08-30,2
2013-08-31,2
2013-09-01,2
2013-09-02,2
2013-09-04,2
2013-09-05,2
2013-09-06,2
2013-09-07,2
2013-09-08,2
2013-09-09,2
2013-09-10,2
2013-09-11,3
2013-09-12,2
2013-09-13,1
2013-09-14,2
2013-09-15,2
2013-09-16,2
2013-09-17,3
2013-09-18,2
2013-09-19,2
2013-09-20,2
2013-09-21,6
2013-09-22,8
2013-09-23,8
2013-09-24,6
2013-09-25,2
2013-09-26,1
2013-09-27,1
2013-09-28,1
2013-09-29,1
2013-09-30,2
2013-10-01,3
2013-10-02,2
2013-10-03,1
2013-10-04,2
2013-10-05,2
2013-10-06,3
2013-10-07,3
2013-10-08,2
2013-10-09,3
2013-10-10,3
2013-10-11,3
2013-10-12,2
2013-10-13,2
2013-10-14,3
2013-10-15,6
2013-10-16,3
2013-10-17,2
2013-10-18,1
2013-10-19,1
2013-10-20,2
2013-10-21,1
2013-10-22,2
2013-10-23,2
2013-10-24,1
2013-10-25,1
2013-10-26,1
2013-10-27,1
2013-10-28,1
2013-10-29,1
2013-10-30,1
2013-10-31,1
2013-11-01,1
2013-11-02,1
2013-11-03,1
2013-11-04,1
2013-11-05,1
2013-11-06,1
2013-11-07,1
2013-11-08,1
2013-11-09,1
2013-11-10,1
2013-11-11,1
2013-11-12,1
2013-11-13,1
2013-11-14,1
2013-11-15,1
2013-11-16,1
2013-11-17,1
2013-11-18,1
2013-11-19,1
2013-11-20,1
2013-11-21,1
2013-11-22,1
2013-11-23,1
2013-11-24,1
2013-11-25,1
2013-11-26,1
2013-11-27,1
2013-11-28,1
2013-11-29,1
2013-11-30,1
2013-12-01,1
2013-12-02,1
2013-12-03,1
2013-12-04,1
2013-12-05,1
2013-12-06,1
2013-12-07,1
2013-12-08,1
2013-12-11,1
2013-12-12,1
2013-12-13,1
2013-12-14,5
2013-12-15,1
2014-05-01,2
2014-05-02,3
2014-05-03,1
2014-05-04,1
2014-05-05,1
2014-05-06,1
2014-05-07,2
2014-05-08,1
2014-05-09,3
2014-05-10,4
2014-05-11,3
2014-05-12,2
2014-05-13,3
2014-05-14,4
2014-05-15,2
2014-05-16,3
2014-05-17,3
2014-05-18,3
2014-05-19,3
2014-05-20,3
2014-05-21,2
2014-05-22,3
2014-05-23,3
2014-05-24,3
2014-05-25,2
2014-05-26,2
2014-05-27,3
2014-05-28,3
2014-05-29,3
2014-05-30,2
2014-05-31,2
2014-06-01,2
2014-06-02,2
2014-06-03,2
2014-06-04,2
2014-06-05,2
2014-06-06,3
2014-06-07,3
2014-06-08,2
2014-06-09,3
2014-06-10,3
2014-06-11,2
2014-06-12,2
2014-06-13,3
2014-06-14,3
2014-06-15,3
2014-06-16,2
2014-06-18,1
2014-06-19,3
2014-06-20,3
2014-06-21,3
2014-06-22,3
2014-06-23,3
2014-06-24,3
2014-06-25,3
2014-06-26,3
2014-06-27,3
2014-06-28,3
2014-06-29,3
2014-06-30,3
2014-07-01,4
2014-07-02,3
2014-07-03,3
2014-07-04,2
2014-07-05,3
2014-07-06,3
2014-07-07,3
2014-07-08,3
2014-07-09,3
2014-07-10,2
2014-07-11,3
2014-07-12,4
2014-07-13,3
2014-07-14,4
2014-07-15,3
2014-07-16,4
2014-07-17,3
2014-07-18,3
2014-07-19,3
2014-07-20,4
2014-07-21,4
2014-07-22,4
2014-07-23,4
2014-07-24,4
2014-07-25,3
2014-07-26,5
2014-07-27,8
2014-07-28,7
2014-07-29,4
2014-07-30,4
2014-07-31,2
2014-08-01,2
2014-08-02,3
2014-08-03,1
2014-08-04,3
2014-08-05,2
2014-08-06,3
2014-08-07,3
2014-08-08,3
2014-08-09,2
2014-08-10,2
2014-08-11,2
2014-08-12,3
2014-08-13,3
2014-08-14,3
2014-08-15,2
2014-08-16,3
2014-08-17,3
2014-08-18,2
2014-08-19,3
2014-08-20,2
2014-08-21,2
2014-08-22,2
2014-08-23,2
2014-08-24,3
2014-08-25,2
2014-08-26,1
2014-08-27,1
2014-08-28,1
2014-08-29,2
2014-08-30,2
2014-08-31,2
2014-09-01,2
