,2012-08-16,2012-08-15,2012-08-14,2012-08-13,2012-08-12,2012-08-11,2012-08-10,2012-08-09,2012-08-08,2012-08-07,2012-08-06,2012-08-05,2012-08-04,2012-08-03,2012-08-02,2012-08-01,2012-07-31,2012-07-30,2012-07-29,2012-07-26,2012-07-25,2012-07-24,2012-07-23,2012-07-22,2012-07-21,2012-07-20,2012-07-17
hum,0.688,0.88,0.643,0.65,0.8029999999999999,0.65,0.6940000000000001,0.635,0.516,0.48,0.541,0.51,0.501,0.519,0.536,0.568,0.6609999999999999,0.723,0.6679999999999999,0.634,0.68,0.7190000000000001,0.7390000000000001,0.7440000000000001,0.674,0.736,0.705
hum5,0.7252,0.688,0.6864,0.6596,0.595,0.5732,0.5364,0.5096,0.5102,0.5214,0.5268,0.557,0.6014,0.6312,0.6586,0.6809999999999999,0.6756,0.667,0.6772,0.7112,0.7224,0.7492,0.759,0.7512,0.777,0.8088,0.8006
hum10,0.6492,0.6122,0.598,0.5849,0.5582,0.55,0.5467,0.5555,0.5707,0.59,0.6039,0.6163,0.6342,0.6542,0.6745,0.6921,0.6934,0.6947,0.7132,0.7441,0.7656,0.7758,0.778,0.7759,0.792,0.7858,0.7419
hum15,0.6084,0.5938,0.5991333329999999,0.600333333,0.591666667,0.593666667,0.589666667,0.592666667,0.6062,0.623466667,0.637,0.647933333,0.6636,0.685866667,0.702666667,0.7118,0.7212666670000001,0.732733333,0.742933333,0.765066667,0.7646666670000001,0.759466667,0.7532,0.745,0.759266667,0.769933333,0.7606666670000001
hum20,0.62655,0.61425,0.6161,0.61955,0.61635,0.62105,0.62005,0.6251,0.64195,0.65735,0.66555,0.6802,0.6999,0.715,0.72625,0.7340000000000001,0.7427,0.74025,0.7389,0.74725,0.75805,0.762,0.7641,0.7583,0.76465,0.77175,0.7334
hum25,0.64188,0.63364,0.63736,0.64548,0.64488,0.64708,0.65144,0.66184,0.67404,0.68528,0.6925600000000001,0.7055600000000001,0.71248,0.71736,0.72172,0.7238399999999999,0.73292,0.7398399999999999,0.7450399999999999,0.7539600000000001,0.76188,0.7572800000000001,0.74788,0.7369600000000001,0.72796,0.71472,0.68708
hum30,0.6366,0.6307666670000001,0.6361,0.644266667,0.6448666670000001,0.648566667,0.6495333329999999,0.6562,0.661466667,0.6668333329999999,0.6703,0.674,0.6869,0.699466667,0.7082,0.7153,0.7142,0.7168,0.7238,0.7102,0.7025,0.6920333329999999,0.6835,0.6773,0.6753,0.6692,0.6378
raf,0.0,0.586666667,0.041666667000000004,0.0016666670000000001,0.10666666699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036666667,0.0,0.0,0.0,0.0,0.003333333,0.033333333,0.0,0.0016666670000000001,0.0016666670000000001
raf5,0.147333333,0.03,0.021666667,0.021333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007333333,0.007333333,0.007333333,0.007333333,0.007333333,0.0,0.0,0.007333333,0.007666666999999999,0.064,0.064666667,0.058333333,0.059333332999999995,0.081666667,0.058333333
raf10,0.073666667,0.015,0.010833333,0.010666667,0.0,0.0,0.0,0.003666667,0.003666667,0.003666667,0.003666667,0.003666667,0.003666667,0.003666667,0.004,0.007333333,0.007333333,0.003833333,0.032,0.033333333,0.044666667,0.0475,0.061666667,0.058333333,0.060666667,0.062166667,0.033166667000000004
